pgid;idGGST;idPerson;FinderVerlierer
42602;9502;12780;1
42603;9502;21470;0
42604;9503;21471;1
42605;9503;21472;0
42606;9504;21473;1
42607;9504;21474;0
42610;9506;21476;1
42617;9511;2;1
42618;9511;21480;0
42624;9515;21483;1
42625;8713;21484;0
42626;9516;11562;1
42627;9516;21485;0
42628;9517;11562;1
42629;9517;16027;0
42630;9518;11562;1
42631;9518;21486;0
42632;9519;15385;1
42633;9520;8569;1
42634;9521;21487;1
42635;9521;21337;0
42636;9519;21488;0
42637;9522;21489;1
42638;9523;11562;1
42640;9525;11997;1
42641;9525;21490;0
42643;9527;21492;1
42646;9527;21494;0
42648;9530;2;1
42649;9532;21496;1
42652;9533;2;1
42653;9533;21499;0
42654;9534;12418;1
42655;9534;21500;0
42665;9541;15754;1
42666;9541;21508;0
42667;9542;21509;1
42670;9545;21511;1
42671;9545;21512;0
42672;9546;21513;1
42673;9547;21514;1
42680;9552;21518;1
42686;9556;14481;1
42687;9557;14481;1
42688;9558;14481;1
42694;9554;21522;0
42705;9569;12418;1
42706;9569;21527;0
42707;9570;21528;1
42708;9570;21529;0
42710;9572;14985;1
42712;9573;2;1
42713;9574;2;1
42716;9576;21533;1
42717;9577;19588;1
42718;9577;21534;0
42719;9578;21535;1
42720;9579;21536;1
42721;9579;21537;0
42722;9580;21538;1
42724;9155;21539;0
42734;9557;21544;0
42735;9558;21544;0
42736;9588;13256;1
42737;9589;12418;1
42738;9589;21545;0
42739;9590;13256;1
42740;9591;13256;1
42741;9592;13256;1
42742;9593;13256;1
42743;9594;21546;1
42745;9595;21547;0
42746;9596;14481;1
42747;9596;21548;0
42748;9597;21549;1
42749;9598;14481;1
42750;9599;21550;1
42751;9600;21551;1
42752;9601;21552;1
42753;9602;13375;1
42754;9603;21553;1
42755;9599;21554;0
42756;9604;14688;1
42757;9605;21555;1
42759;9606;16025;1
42760;9606;21556;0
42761;9607;21557;1
42762;9607;21558;0
42763;9608;21559;1
42764;9608;21560;0
42765;9609;21561;1
42766;9610;12418;1
42767;9610;21562;0
42768;9609;21563;0
42769;9611;12418;1
42770;9611;21564;0
42771;9612;21565;1
42772;9613;21566;1
42773;9614;21567;1
42774;9614;21568;0
42775;9615;13596;1
42776;9615;21569;0
42777;5752;17243;1
42778;9616;1;1
42779;9617;12418;1
42780;9617;21570;0
42786;9621;21574;1
42792;9625;15528;1
42796;9542;21578;0
42797;9629;21579;1
42798;9630;12758;1
42799;9631;12758;1
42800;9632;12758;1
42801;9632;21580;0
42802;9633;13596;1
42803;9634;15385;1
42804;9634;21581;0
42805;9635;2;1
42806;9635;21582;0
42807;9636;21583;1
42808;9636;21584;0
42809;9384;21585;0
42810;9637;21586;1
42811;9638;15350;1
42812;9639;2;1
42813;9640;13895;1
42814;9641;15350;1
42815;9640;21587;0
42816;9642;21588;1
42817;9643;21589;1
42818;9644;21590;1
42819;9645;21513;1
42820;9646;2;1
42821;9646;21591;0
42822;9647;21592;1
42823;9648;13895;1
42824;9622;21593;0
42825;9649;13895;1
42826;9649;21594;0
42827;9645;21595;0
42828;9650;21596;1
42829;9651;13024;1
42830;9581;21597;0
42831;9652;21598;1
42832;9653;13024;1
42833;9654;13024;1
42834;9655;13024;1
42835;9532;21599;0
42836;9656;21600;1
42838;9656;21602;0
42839;9657;21603;1
42840;9657;21604;0
42841;9658;12418;1
42842;9658;21605;0
42843;9659;21606;1
42844;9660;18558;1
42845;9660;21607;0
42846;9661;21608;1
42847;9661;21609;0
42848;9662;21610;1
42849;9663;2;1
42850;9663;21611;0
42851;9664;21612;1
42852;9665;21613;1
42853;9666;21614;1
42854;9667;2;1
42855;9667;21615;0
42856;9668;1;1
42857;9668;21616;0
42858;9669;12418;1
42859;9669;21617;0
42860;9670;12418;1
42861;9670;21618;0
42862;9671;12418;1
42863;9671;21619;0
42864;9672;21620;1
42865;9673;21621;1
42866;9674;13024;1
42867;9675;12780;1
42868;9675;21622;0
42869;9676;21623;1
42870;9439;21624;0
42875;9679;21627;1
42878;9682;17243;1
42879;9682;21630;0
42880;9683;17243;1
42403;9377;12758;1
42422;9386;21355;0
42424;9388;21356;1
42425;9388;16545;0
42426;9389;12780;1
42427;9390;21357;1
42428;9391;21358;1
42429;9309;21359;0
42432;9393;13852;1
42433;9394;15663;1
42434;9394;13268;0
42439;9397;21364;1
42440;9397;17206;0
42441;9398;12780;1
42442;9398;21365;0
42443;9399;15879;1
42444;9400;21366;1
42445;9401;12823;1
42447;9403;21368;1
42744;9595;13256;1
42874;9594;21289;0
42881;9683;21631;0
42882;9684;21632;1
42884;9685;21633;0
42885;9685;17243;1
42886;9686;12418;1
42887;9686;21634;0
42888;9687;2;1
42889;9688;17243;1
42890;9689;21635;1
45897;9689;19357;0
42892;9673;21637;0
42893;9690;17243;1
42894;9679;21638;0
42895;9691;2;1
42896;9692;21639;1
42897;9692;21640;0
42898;9693;21641;1
42899;9694;21642;1
42900;9695;21643;1
42901;9693;21644;0
42902;9696;15423;1
42903;9697;21645;1
42905;9697;21647;0
42907;9699;16358;1
42908;9699;21649;0
42916;9704;13496;1
42917;9705;13496;1
42918;9706;21656;1
42919;9707;14023;1
42920;9707;21657;0
42933;9716;21667;1
42936;9718;21669;1
42937;9718;21670;0
42941;9721;21671;1
42942;9721;21672;0
42951;9727;21678;1
42952;9727;21679;0
42957;9731;21683;1
42958;9731;21684;0
42959;9732;12801;1
42961;9732;21686;0
42962;9733;21687;1
42969;9738;21690;1
42970;9738;21691;0
42972;9739;21693;1
42974;9740;17680;1
42975;9741;12418;1
42976;9741;21695;0
42978;9743;12418;1
42979;9743;21696;0
42980;9744;12780;1
42981;9744;21697;0
42984;9746;12780;1
42985;9746;21700;0
42986;9747;21702;1
42987;9747;19763;0
42988;9748;21703;1
42989;9749;18048;1
42990;9750;12742;1
42991;9751;14481;1
42992;9751;21704;0
42993;9752;21705;1
42994;9752;21706;0
42995;9753;21399;1
42996;9754;14481;1
42997;9755;12780;1
42998;9755;21707;0
42999;9756;12780;1
43000;9756;21708;0
43001;9757;12780;1
43002;9757;21709;0
43003;9758;21710;1
43004;9759;792;1
43005;9760;12758;1
43006;9762;12758;1
43007;9761;11973;1
43008;9761;21711;0
43013;9766;11973;1
43014;9766;21713;0
43015;9767;11973;1
43016;9767;21714;0
43025;9773;21719;1
43030;9774;21723;1
43032;9778;21716;1
43033;9778;21724;0
43034;9779;21716;1
43037;9779;21725;0
43038;9780;21581;1
43039;9781;14481;1
43040;9782;14481;1
43041;9783;12418;1
43042;9783;21726;0
43043;9784;14481;1
43044;9785;14481;1
43045;9786;14481;1
43046;9787;14481;1
43047;9788;14481;1
43048;9789;14481;1
43049;9790;21727;1
43050;9790;21728;0
43051;9791;21729;1
43052;9791;21730;0
43053;9792;8569;1
43054;9792;21731;0
43055;9793;15150;1
43056;9794;12418;1
43057;9794;21732;0
43058;9781;21733;0
43059;9793;19507;0
43060;9076;21734;0
43061;9795;21735;1
43062;9795;21736;0
43063;9659;21737;0
43064;9796;21738;1
43065;9797;21739;1
43066;9796;21740;0
43067;9798;12418;1
43068;9798;21741;0
43069;9799;12418;1
43070;9799;13092;0
43071;9800;21742;1
43072;9801;12418;1
43073;9802;12418;1
43074;9803;12418;1
43075;9803;21743;0
43076;9804;12418;1
43077;9804;21744;0
43078;9805;12418;1
43079;9805;21745;0
43082;9807;21747;1
43083;9807;21748;0
43085;9809;12418;1
43086;9809;21750;0
43089;9811;21753;1
43090;9812;12418;1
43091;9812;21754;0
43092;9811;21755;0
43093;9813;21756;1
43094;9814;12757;1
43095;9815;21757;1
43096;9816;21758;1
43097;9817;14530;1
43098;9818;14530;1
43099;9819;21759;1
43100;9820;9170;1
43101;9821;13496;1
43102;9822;2;1
43103;9822;13268;0
43104;9823;12418;1
43105;9823;21760;0
43106;9824;21761;1
43107;9824;14599;0
43108;9825;13801;1
43109;9825;21762;0
43110;9826;21763;1
43111;9826;21764;0
43112;9827;2;1
43113;9827;21765;0
43114;9828;21766;1
43115;9829;21767;0
43116;9829;21768;1
43117;9830;21769;1
43118;9830;21770;0
43119;9831;21771;1
43120;9831;21772;0
43121;9832;21773;1
43148;9833;21780;1
43147;9834;21780;1
43124;9835;21716;1
43125;9835;21774;0
43150;9836;21780;1
43149;9837;21780;1
43128;9808;21775;0
43151;9838;21780;1
43130;9839;21776;1
43131;9839;21777;0
43132;9840;13256;1
43133;9841;13256;1
43134;9842;13256;1
43135;9843;13256;1
43136;9844;13256;1
43137;9845;13256;1
43138;9846;15528;1
43139;9847;15528;1
43140;9847;21778;0
43141;9848;21779;1
43142;9849;15528;1
43143;9850;13256;1
43144;9851;15528;1
43145;9852;12780;1
43146;9833;21780;0
43152;9853;15528;1
43153;9855;15528;1
43154;9854;21781;1
43155;9856;15528;1
43156;9857;15528;1
43157;9858;12418;1
43158;9858;21782;0
43159;9859;15528;1
43160;9860;21783;1
43161;9860;21784;0
43162;9861;12418;1
43163;9861;21785;0
43164;9862;15528;1
43165;9863;21786;1
43167;9865;21787;1
43168;9865;21788;0
