sid;Strassenbezeichnung
609;Schlossmattstrasse
610;Schlossstrasse
611;Schlüsselgässchen
612;Schmiedenplatz
613;Schmiedweg
614;Schönauweg
615;Schönbergrain
616;Schönbergweg
617;Schönburgstrasse
618;Schöneggweg
619;Schosshaldenstrasse
620;Schreinerweg
621;Schreiten und Gleiten
622;Schulweg
623;Schüttestrasse
624;Schützengässchen
625;Schützenmattstrasse
626;Schützenweg
627;Schwabstrasse
628;Schwalbenweg
629;Schwanengasse
630;Schwarzenburgstrasse
631;Schwarztorstrasse
632;Schweizerhof-Passage
633;Schwellenmattstrasse
634;Schwyzerstärnweg
635;Seelandweg
636;Seftauweg
637;Seftigenstrasse
638;Segantinistrasse
639;Seidenweg
640;Seilerstrasse
641;Selibühlweg
642;Seminarstrasse
643;Sempachstrasse
644;Sennweg
645;Sickingerstrasse
646;Sidlerstrasse
647;Siedlungsweg
648;Simonstrasse
649;Simplonweg
650;Sinnerstrasse
651;Sodweg
652;Sonneggring
653;Sonneggsteig
654;Sonneggweg
655;Sonnenbergrain
656;Sonnenbergstrasse
657;Sonnenhofweg
658;Speichergasse
659;Spelterinistrasse
660;Spinnereiweg
661;Spitalackerstrasse
662;Spitalgasse
663;Spitalgass-Passage
664;Spittelerstrasse
665;Sprünglistrasse
666;Stadtbachstrasse
667;Stämpflistrasse
668;Standstrasse
669;Stapfenackerstrasse
670;Stapfenstrasse
671;Stärnewägli
672;statt Beinen Flügel
673;Statthalterstrasse
674;Stauffacherstrasse
675;Staufferstrasse
676;Stauwehrrain
677;Steckweg
678;Stegenweg
679;Steigerhubelstrasse
680;Steigerweg
681;Steinauweg
682;Steinerstrasse
683;Steinhölzliweg
684;Sternengässchen
685;Stettlerstrasse
686;Stöckackerstrasse
687;Stockerenweg
688;Stoossstrasse
689;Storchengässchen
690;Strandweg
691;Studerstrasse
692;Stürlerstrasse
693;Südbahnhofstrasse
694;Sulgenauweg
695;Sulgenbachstrasse
696;Sulgeneckstrasse
697;Sulgenheimweg
698;Sulgenrain
699;Surbekstrasse
700;Sustenweg
701;Talweg
702;Tannenweg
703;Taubenstrasse
704;Tavelweg
705;Tellplatz
706;Tellstrasse
707;Teppich der Erinnerung
708;Terrassenweg
709;Theaterplatz
710;Thormannmätteliweg
711;Thormannstrasse
712;Thunplatz
713;Thunstrasse
714;Thüringstrasse
715;Tiefenaustrasse
716;Tierparkweg
717;Tillierstrasse
718;Tinguelyweg
719;Trachselweg
720;Traffeletweg
721;Trechselstrasse
722;Troxlerrain
723;Tscharnerstrasse
724;Tulpenweg
725;Tumarkinweg
726;Tunnelweg
727;Turnierstrasse
728;Turnweg
729;Uferweg
730;Ulmenweg
731;Undo-endo
732;unheile Eile
733;Unterer Aareggweg
734;Unteres Gerechtigkeitsgässchen
735;Untermattweg
736;Vallottonweg
737;Vannazhalde
738;Veilchenweg
739;Vennerweg
740;Vereinsweg
741;Vidartweg
742;Viererfeldweg
743;Viktoriaplatz
744;Viktoriarain
745;Viktoriastrasse
746;Villettemattstrasse
747;Von Werdt-Passage
748;Waaghausgasse
749;Waaghaus-Passage
750;Wabernstrasse
751;Wachtelweg
752;Waffenweg
753;Wagnerstrasse
754;Waisenhausplatz
755;Waldheimstrasse
756;Waldhöheweg
757;Waldmannstrasse
758;Waldmeisterstrasse
759;Waldstätterstrasse
760;Wallgasse
761;Wangenstrasse
762;Wankdorffeldstrasse
763;Wankdorfplatz
764;Wankdorfstrasse
765;Warmbächliweg
766;warum zu Fuss?
767;was alles wächst!
768;Wasserwerkgasse
769;Wattenwylweg
770;Weberstrasse
771;Wehrweg
772;Weidgasse
773;Weidmattweg
774;Weiermattstrasse
775;Weihergasse
776;Weingartstrasse
777;Weissenbühlweg
778;Weissensteinstrasse
779;Weltistrasse
780;Weltpoststrasse
781;Wendschatzstrasse
782;Werdtweg
783;Werkgasse
784;Wernerstrasse
785;Weststrasse
786;Weyermannsstrasse
787;Wiesenstrasse
788;Wildermettweg
789;Wildhainweg
790;Wildparkstrasse
791;Wildstrasse
792;Willadingweg
793;Winkelriedstrasse
794;Winterfeldweg
795;Winterholzstrasse
796;Wintermattweg
797;Wittigkofenweg
798;Wohlenstrasse
799;Wölflistrasse
800;Worblaufenstrasse
801;Worbstrasse
802;Wurm am Weg
803;Wyderrain
804;Wylerfeldstrasse
805;Wylerringstrasse
806;Wylerstrasse
807;Wyssweg
808;Wyttenbachstrasse
809;Zähringerstrasse
810;Zaunweg
811;Zeerlederstrasse
812;Zeigerweg
813;Zelgstrasse
814;Zeltweg
815;Zentweg
816;Zeughausgasse
817;Zeughaus-Passage
818;Zibelegässli
819;Ziegelackerstrasse
820;Zieglerstrasse
821;Zielweg
822;Zikadenweg
823;Zinggstrasse
824;Zwinglistrasse
825;Zwyssigstrasse
826;Zypressenstrasse
827;Zytgloggelaube
828;Zytglogge-Passage
