oid;PLZ;Ort
445;1400;Cheseaux-Noréaz
446;1400;Yverdon car postal
447;1401;Yverdon
448;1404;Cuarny
449;1404;Villars-Epeney
450;1405;Pomy
451;1406;Cronay
452;1407;Donneloye
453;1407;Gossens
454;1407;Mézery-Donneloye
455;1407;Bioley-Magnoux
456;1408;Prahins
457;1409;Chanéaz
458;1410;Thierrens
459;1410;Correvon
460;1412;Valeyres-Ursins
461;1412;Ursins
462;1413;Orzens
463;1413;Oppens
464;1414;Rueyres
465;1415;Molondin
466;1415;Démoret
467;1416;Pailly
468;1417;Essertines-Yverdon
469;1417;Epautheyres
470;1418;Vuarrens
471;1420;Fiez
472;1421;Fontaines-Grandson
473;1421;Grandevent
474;1422;Grandson
475;1422;Grandson 1
476;1422;Grandson 2
477;1423;Villars-Burquin
478;1423;Fontanezier
479;1423;Romairon
480;1423;Vaugondry
481;1424;Champagne
482;1425;Onnens VD
483;1426;Concise
484;1426;Corcelles-Concise
485;1427;Bonvillars
486;1428;Provence-Mutrux
487;1428;Provence
488;1428;Mutrux
489;1429;Giez
490;1430;Orges
491;1431;Vugelles-La Mothe
492;1431;Novalles
493;1432;Belmont-Yverdon
494;1432;Gressy
495;1433;Suchy
496;1434;Ependes VD
497;1435;Essert-Pittet
498;1436;Treycovagnes
499;1436;Chamblon
500;1437;Suscévaz
501;1438;Mathod
502;1441;Valeyres-Montagny
749;1698;Bouloz
750;1699;Porsel
751;1699;Pont (Veveyse)
752;1700;Fribourg
753;1700;Fribourg 1
754;1700;Fribourg 1 CC Dist
755;1701;Fribourg
756;1701;Fribourg Swisscom
757;1702;Fribourg
758;1703;Fribourg
759;1704;Fribourg
760;1705;Fribourg
761;1706;Fribourg
762;1707;Fribourg
763;1708;Fribourg
764;1709;Fribourg
765;1711;Schwarzsee
766;1712;Tafers
767;1713;St. Antoni
768;1714;Heitenried
769;1715;Alterswil FR
770;1716;Plaffeien
771;1716;Oberschrot
772;1717;St. Ursen
773;1718;Rechthalten
774;1719;Brünisried
775;1719;Zumholz
776;1720;Corminboeuf
777;1720;Chésopelloz
778;1721;Misery-Courtion
