pid;Anrede;PLZ;Ort;idPersonenTyp;import
37910;3;3095;Spiegel b. Bern;1;0
37913;3;3014;Bern;1;0
37914;2;6043;Adligenswil;1;0
37917;2;3018;Bern;1;0
37921;2;3018;Bern;1;0
37296;3;3312;Fraubrunnen;1;0
37297;2;3027;Bern;1;0
37298;2;3185;Schmitten FR;1;0
37299;3;3322;Schönbühl-Urtenen;1;0
37349;3;4125;Riehen;1;0
37652;3;3172;Niederwangen BE;1;0
37673;3;3672;Oberdiessbach  ;1;0
37676;3;3174;Thörishaus;1;0
37708;3;1772;Grolley;1;0
37709;3;000;000;1;0
37710;3;3114;Wichtrach;1;0
37714;3;3098;Köniz;1;0
37725;2;3014;Bern;1;0
37727;3;3360;Herzogenbuchsee;1;0
37729;2;3097;Liebefeld;1;0
37734;3;3074;Muri b. Bern;1;0
37735;2;3436;Zollbrück;1;0
37748;3;3098;Köniz;1;0
37749;3;3011;Bern;1;0
37753;2;3084;Wabern;1;0
37755;2;-;Estland;1;0
37785;2;9000;St. Gallen;1;0
37786;2;3006;Bern;1;0
37805;2;3006;Bern;1;0
37825;3;3047;Bremgarten b. Bern;1;0
37878;2;3008;Bern;1;0
37922;2;3006;Bern;1;0
37923;2;3008;Bern;1;0
37924;2;3011;Bern;1;0
37925;3;8000;Zürich   ;1;0
37927;2;3110;Münsingen;1;0
37928;3;3072;Ostermundigen    ;1;0
37929;2;3292;Busswil b. Büren;1;0
37930;2;3004;Bern;1;0
37931;2;3011;Bern;1;0
37932;2;3011;Bern;1;0
37933;2;6300;Zug;1;0
37938;3;3213;Liebistorf;1;0
37939;2;3014;Bern;1;0
37946;2;3012;Bern;1;0
37947;2;4312;Magden;1;0
37948;2;1700;Fribourg    ;1;0
37950;2;3018;Bern;1;0
37951;3;3098;Köniz;1;0
37957;3;3027;Bern;1;0
37959;2;3006;Bern  ;1;0
37960;1;3000;Bern  7   ;1;0
37961;3;60487;Frankfurt;1;0
37963;2;3014;Bern;1;0
37964;2;3007;Bern;1;0
37966;2;3014;Bern;1;0
37970;3;3422;Kirchberg BE;1;0
37976;2;3262;Suberg;1;0
37978;2;3076;Worb;1;0
37979;2;3006;Bern;1;0
37980;3;3425;Koppigen;1;0
37981;3;3011;Bern;1;0
37982;3;3006;Bern;1;0
37985;2;3047;Bremgarten;1;0
37986;2;3176;Neuenegg;1;0
37987;3;4125;Riehen;1;0
37988;2;3011;Bern;1;0
37990;3;4053;Basel;1;0
37991;3;3800;Unterseen;1;0
37992;3;3063;Ittigen;1;0
37993;3;4853;Murgenthal;1;0
